Sample Name,Cpd,CAS,Name,Hits,Abund,Mining Algorithm,Area,Base Peak,Mass,Avg Mass,Score,m/z,m/z (prod.),RT,Start,End,Width,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),RT (Tgt),RT Diff (Tgt),Sample Type,Formula,Height,Ions,Polarity,Z Count,Max Z,Min Z,Label,File,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
Propellant 1ug drying 14,1,,Diphenylamine,1,706,Find by Formula,2579,121.0509,169.0891,,69.59,187.1239,,6.472,6.447,6.481,6.427,-0.08,-0.47,69.59,low score,Warning,2,169.0891,,,Sample,C12 H11 N,2009,3,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 6.472,Propellant_1ug_drying_14_191121-0016-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 14,2,,PETN,1,708,Find by Formula,3139,331.2086,316.0153,,56.69,334.0504,,12.045,12.028,12.103,1.444,1.47,4.64,56.69,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1780,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 12.045,Propellant_1ug_drying_14_191121-0016-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 14,3,,Diethyl Phthalate,1,23179,Find by Formula,636882,214.2527,222.0889,,93.86,245.0780,,14.438,14.276,14.935,0.178,-0.33,-1.47,93.86,,Pass,0,222.0892,,,Sample,C12 H14 O4,49856,7,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.438,Propellant_1ug_drying_14_191121-0016-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 14,4,,Nitrobenzene,1,598,Find by Formula,5915,121.0509,123.0324,,55.46,141.0677,,8.667,8.633,8.749,8.503,0.34,2.73,55.46,low score,Warning,2,123.0320,,,Sample,C6 H5 N O2,1738,4,Positive,1,1,1,Cpd 4: Nitrobenzene; C6 H5 N O2; 8.667,Propellant_1ug_drying_14_191121-0016-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 14,5,,Phenazine,1,664,Find by Formula,1745,121.0509,180.0693,,56.23,203.0566,,1.918,1.906,1.933,1.626,0.55,3.05,56.23,low score; No H adduct,Warning,2,180.0687,,,Sample,C12 H8 N2,2316,3,Positive,1,1,1,Cpd 5: Phenazine; C12 H8 N2; 1.918,Propellant_1ug_drying_14_191121-0016-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 16,1,,Diphenylamine,1,8667,Find by Formula,89757,242.2838,169.0899,,71.85,187.1249,,16.848,16.766,16.972,0.089,0.74,4.35,71.85,low score,Warning,2,169.0891,,,Sample,C12 H11 N,15859,4,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 16.848,Propellant_1ug_drying_16_191121-0018-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 16,2,,PETN,1,401,Find by Formula,2942,701.4938,316.0142,,60.58,334.0492,,13.113,13.072,13.138,13.063,0.33,1.05,60.58,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1276,3,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 13.113,Propellant_1ug_drying_16_191121-0018-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 16,3,,Diethyl Phthalate,1,28299,Find by Formula,451575,214.2526,222.0888,,94.14,245.0779,,14.455,14.287,14.653,0.160,-0.37,-1.66,94.14,,Pass,0,222.0892,,,Sample,C12 H14 O4,44526,6,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.455,Propellant_1ug_drying_16_191121-0018-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug drying 18,1,,Diethyl Phthalate,1,21599,Find by Formula,554216,214.2525,222.0888,,93.22,245.0779,,14.441,14.243,14.821,0.179,-0.41,-1.87,93.22,,Pass,0,222.0892,,,Sample,C12 H14 O4,45410,6,Positive,1,1,1,Cpd 1: Diethyl Phthalate; C12 H14 O4; 14.441,Propellant_1ug_drying_18_191121-0020-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 200,1,,Diphenylamine,1,14783,Find by Formula,142924,242.2837,169.0897,,85.60,187.1236,,16.836,16.728,16.952,0.098,0.52,3.08,85.60,No H adduct,Warning,2,169.0891,,,Sample,C12 H11 N,24275,2,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 16.836,Propellant_1ug_gas_200_191121-0012-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 200,2,,PETN,1,1014,Find by Formula,3262,701.4932,316.0133,,71.04,334.0491,,11.644,11.636,11.702,7.513,-0.61,-1.93,71.04,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1666,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 11.644,Propellant_1ug_gas_200_191121-0012-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 200,3,,Diethyl Phthalate,1,28500,Find by Formula,1013878,214.2530,222.0888,,96.37,245.0780,,14.393,14.157,14.973,0.241,-0.44,-1.99,96.37,,Pass,0,222.0892,,,Sample,C12 H14 O4,62298,6,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.393,Propellant_1ug_gas_200_191121-0012-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 280,1,,Diphenylamine,1,8808,Find by Formula,106167,242.2838,169.0906,,60.95,170.0961,,16.840,16.720,16.960,0.107,1.42,8.42,60.95,low score,Warning,2,169.0891,,,Sample,C12 H11 N,15881,4,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 16.840,Propellant_1ug_gas_280_191121-0014-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 280,2,,PETN,1,908,Find by Formula,2248,701.4936,316.0143,,80.84,334.0487,,11.855,11.806,11.864,0.350,0.44,1.40,80.84,,Pass,0,316.0139,,,Sample,C5 H8 N4 O12,1558,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 11.855,Propellant_1ug_gas_280_191121-0014-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug gas 280,3,,Diethyl Phthalate,1,16825,Find by Formula,543458,214.2526,222.0891,,92.96,245.0780,,14.447,14.258,14.886,0.175,-0.15,-0.67,92.96,,Pass,0,222.0892,,,Sample,C12 H14 O4,41290,7,Positive,1,1,1,Cpd 3: Diethyl Phthalate; C12 H14 O4; 14.447,Propellant_1ug_gas_280_191121-0014-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug nebul 40,1,,Diphenylamine,1,19286,Find by Formula,322559,214.2525,169.0898,,62.92,187.1256,,16.841,16.775,16.994,0.110,0.69,4.09,62.92,low score,Warning,2,169.0891,,,Sample,C12 H11 N,50045,4,Positive,1,1,1,Cpd 1: Diphenylamine; C12 H11 N; 16.841,Propellant_1ug_nebul_40_191121-0022-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug nebul 40,2,,PETN,1,1030,Find by Formula,1665,331.2086,316.0130,,65.06,334.0484,,12.237,12.221,12.246,0.717,-0.91,-2.87,65.06,low score,Warning,2,316.0139,,,Sample,C5 H8 N4 O12,1838,4,Positive,1,1,1,Cpd 2: PETN; C5 H8 N4 O12; 12.237,Propellant_1ug_nebul_40_191121-0022-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug nebul 40,3,,Nitroguanidine,1,1043,Find by Formula,2592,288.2890,104.0326,,55.53,105.0398,,13.968,13.935,13.984,0.201,-0.80,-7.73,55.53,low score,Warning,2,104.0334,,,Sample,C H4 N4 O2,1736,2,Positive,1,1,1,Cpd 3: Nitroguanidine; C H4 N4 O2; 13.968,Propellant_1ug_nebul_40_191121-0022-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug nebul 40,4,,"2,4-Dnitroanisole",1,834,Find by Formula,2596,121.0509,198.0286,,50.41,221.0186,,8.072,8.024,8.088,7.936,0.89,4.49,50.41,low score,Warning,2,198.0277,,,Sample,C7 H6 N2 O5,1472,3,Positive,1,1,1,"Cpd 4: 2,4-Dnitroanisole; C7 H6 N2 O5; 8.072",Propellant_1ug_nebul_40_191121-0022-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
Propellant 1ug nebul 40,5,,Diethyl Phthalate,1,23435,Find by Formula,716788,214.2527,222.0887,,93.36,245.0780,,14.456,14.263,14.962,0.174,-0.53,-2.40,93.36,,Pass,0,222.0892,,,Sample,C12 H14 O4,55755,5,Positive,1,1,1,Cpd 5: Diethyl Phthalate; C12 H14 O4; 14.456,Propellant_1ug_nebul_40_191121-0022-r001.d,Instrument 1,P2-A1,Dominic Davis-Foster,Maitre Gunshot Residue Positive 5ul.m,QualMethod.m,Success
